CMDLINE python script2.py
MEM 132.800781 1588687974.4228
MEM 133.144531 1588687974.5323
MEM 133.312500 1588687974.6323
MEM 133.878906 1588687974.7327
MEM 133.980469 1588687974.8334
MEM 134.167969 1588687974.9335
MEM 134.859375 1588687975.0341
MEM 134.859375 1588687975.1351
MEM 134.921875 1588687975.2357
MEM 135.554688 1588687975.3362
MEM 135.554688 1588687975.4406
MEM 135.554688 1588687975.5499
MEM 135.558594 1588687975.6509
MEM 135.582031 1588687975.7516
MEM 135.593750 1588687975.8517
MEM 135.605469 1588687975.9520
MEM 135.687500 1588687976.0524
MEM 137.519531 1588687976.1531
MEM 138.605469 1588687976.2531
MEM 143.808594 1588687976.3627
MEM 146.148438 1588687976.4736
MEM 147.648438 1588687976.5830
MEM 148.648438 1588687976.6836
MEM 150.648438 1588687976.7844
MEM 152.144531 1588687976.8853
MEM 153.644531 1588687976.9855
MEM 155.144531 1588687977.0862
MEM 157.144531 1588687977.1868
MEM 159.144531 1588687977.2869
MEM 163.144531 1588687977.3877
MEM 173.460938 1588687977.4889
MEM 183.644531 1588687977.5915
MEM 193.644531 1588687977.6919
MEM 203.644531 1588687977.7928
MEM 211.644531 1588687977.8930
MEM 212.644531 1588687977.9936
MEM 218.644531 1588687978.0939
MEM 228.644531 1588687978.1949
MEM 238.644531 1588687978.2958
MEM 248.644531 1588687978.3966
MEM 259.644531 1588687978.5054
MEM 266.644531 1588687978.6055
MEM 275.644531 1588687978.7063
MEM 285.644531 1588687978.8074
MEM 296.144531 1588687978.9115
MEM 306.792969 1588687979.0208
MEM 318.144531 1588687979.1302
MEM 329.074219 1588687979.2395
MEM 462.132812 1588687979.3488
MEM 582.082031 1588687979.4492
MEM 749.011719 1588687979.5586
MEM 900.652344 1588687979.6591
MEM 1074.996094 1588687979.7598
MEM 672.722656 1588687979.8606
MEM 854.410156 1588687979.9613
MEM 1033.046875 1588687980.0621
MEM 633.261719 1588687980.1628
MEM 774.937500 1588687980.2635
MEM 971.347656 1588687980.3642
MEM 1145.812500 1588687980.4777
MEM 1328.226562 1588687980.5871
MEM 1500.886719 1588687980.6876
MEM 1673.285156 1588687980.7884
MEM 1842.785156 1588687980.8891
MEM 2018.734375 1588687980.9898
MEM 2178.171875 1588687981.0992
MEM 2367.730469 1588687981.2000
MEM 2566.949219 1588687981.3130
MEM 2626.917969 1588687981.4223
MEM 2767.035156 1588687981.5316
MEM 2915.785156 1588687981.6325
MEM 3094.777344 1588687981.7333
MEM 3259.406250 1588687981.8340
MEM 3420.511719 1588687981.9347
MEM 3075.667969 1588687982.0355
MEM 3075.667969 1588687982.1357
MEM 3075.671875 1588687982.2360
MEM 2126.550781 1588687982.3366
MEM 1620.597656 1588687982.4420
MEM 1624.011719 1588687982.5514
MEM 1624.554688 1588687982.6520
MEM 1624.972656 1588687982.7527
MEM 1625.855469 1588687982.8535
MEM 786.464844 1588687982.9669
MEM 764.617188 1588687983.0746
MEM 961.605469 1588687983.1840
MEM 1165.882812 1588687983.2933
MEM 1365.832031 1588687983.4027
MEM 1555.964844 1588687983.5120
MEM 1716.937500 1588687983.6121
MEM 1913.679688 1588687983.7128
MEM 2100.761719 1588687983.8135
MEM 1651.394531 1588687983.9143
MEM 1808.265625 1588687984.0170
MEM 2001.601562 1588687984.1177
MEM 2187.636719 1588687984.2185
MEM 2385.835938 1588687984.3192
MEM 2581.878906 1588687984.4199
MEM 2744.468750 1588687984.5287
MEM 2915.011719 1588687984.6289
MEM 3093.867188 1588687984.7296
MEM 2616.421875 1588687984.8303
MEM 2445.808594 1588687984.9310
MEM 1634.964844 1588687985.0317
MEM 1637.507812 1588687985.1325
MEM 1640.078125 1588687985.2332
MEM 1728.144531 1588687985.3339
MEM 2038.867188 1588687985.4347
MEM 2039.859375 1588687985.5379
MEM 2039.859375 1588687985.6381
MEM 2039.859375 1588687985.7383
MEM 2039.859375 1588687985.8390
MEM 2039.859375 1588687985.9400
MEM 2039.859375 1588687986.0409
MEM 2039.859375 1588687986.1416
MEM 2039.859375 1588687986.2424
MEM 2039.859375 1588687986.3426
MEM 2039.859375 1588687986.4540
MEM 2039.859375 1588687986.5634
MEM 2039.859375 1588687986.6641
MEM 2039.859375 1588687986.7648
MEM 2039.859375 1588687986.8655
MEM 2039.859375 1588687986.9664
MEM 2039.859375 1588687987.0668
MEM 2039.859375 1588687987.1677
MEM 2039.859375 1588687987.2679
MEM 2039.859375 1588687987.3685
MEM 2039.859375 1588687987.4707
MEM 2039.859375 1588687987.5802
MEM 2039.859375 1588687987.6811
MEM 2039.859375 1588687987.7813
MEM 2039.859375 1588687987.8818
MEM 2039.859375 1588687987.9823
MEM 2039.859375 1588687988.0832
MEM 2039.898438 1588687988.1840
MEM 2039.898438 1588687988.2847
MEM 2039.898438 1588687988.3850
MEM 2039.898438 1588687988.4870
MEM 2039.898438 1588687988.5878
MEM 2039.898438 1588687988.6881
MEM 2039.898438 1588687988.7888
MEM 2039.910156 1588687988.8891
MEM 2043.167969 1588687988.9899
MEM 2047.437500 1588687989.0974
MEM 2052.718750 1588687989.2067
MEM 2057.945312 1588687989.3161
MEM 2080.253906 1588687989.4254
MEM 2151.601562 1588687989.5407
MEM 2333.062500 1588687989.6408
MEM 2533.335938 1588687989.7416
